日期,编码,地区,流量,月份,天,小时
201910281100,857,毕节,0,10,28,11
201910281105,857,毕节,0,10,28,11
201910281110,857,毕节,0,10,28,11
201910281115,857,毕节,0,10,28,11
201910281120,857,毕节,0,10,28,11
201910281125,857,毕节,0,10,28,11
201910281130,857,毕节,0,10,28,11
201910281135,857,毕节,0,10,28,11
201910281140,857,毕节,0,10,28,11
201910281145,857,毕节,0,10,28,11
201910281150,857,毕节,0,10,28,11
201910281155,857,毕节,0,10,28,11
201910281200,857,毕节,0,10,28,12
201910281205,857,毕节,0,10,28,12
201910281210,857,毕节,0,10,28,12
201910281215,857,毕节,0,10,28,12
201910281220,857,毕节,0,10,28,12
201910281225,857,毕节,0,10,28,12
201910281230,857,毕节,0,10,28,12
201910281235,857,毕节,0,10,28,12
201910281240,857,毕节,0,10,28,12
201910281245,857,毕节,0,10,28,12
201910281250,857,毕节,0,10,28,12
201910281255,857,毕节,0,10,28,12
